X,Y,OBJECTID,WARD,BLDG_NAME,ADDRESS
-89.3130976920278,43.1362809593401,4947,125,Sandburg Elementary School,4114 Donald Dr
-89.3809196920814,43.0745351275002,4948,126,Majestic Theatre,115 King St
-89.3281862406746,43.1120072755888,4949,127,Hawthorne Elementary School,3344 Concord Ave
-89.3286714630809,43.118349422197,4950,128,East Madison Community Center,8 Straubel Ct
-89.3703986727666,43.1464587606059,4951,129,Black Hawk Middle School,1402 Wyoming Way
-89.367086593365,43.0918697402666,4952,130,Tenney Park Pavilion,402 N Thornton Ave
-89.3853432555328,43.1362111298704,4953,131,Vera Court Neighborhood Center,614 Vera Ct
-89.3933664773981,43.0460495320144,4954,132,Catholic Multicultural Center,1862 Beld St
-89.3582673198683,43.0310403515437,4955,133,Highland Manor Park Storm Shelter,10 Manor Dr
-89.3999851531868,43.0762486826619,4956,134,Memorial Union,800 Langdon St
-89.4791910369746,43.0646825508253,4957,135,Wellspring United Methodist Church,5702 South Hill Dr
-89.4901421710202,43.0403871456508,4958,136,Anana Elementary School,6323 Woodington Way
-89.5020243568607,43.0662947160714,4959,137,Lussier Community Education Center,55 S Gammon Rd
-89.5194139594454,43.0552634129633,4960,138,Princeton Club - West,8080 Watts Rd
-89.5544504194387,43.0621255141232,4961,139,Blackhawk Church,9620 Brader Way
-89.5544504194387,43.0621255141232,4962,140,Blackhawk Church,9620 Brader Way
-89.5544504194387,43.0621255141232,4963,141,Blackhawk Church,9620 Brader Way
-89.5037089425694,43.0379218843651,4964,142,Elver Park Shelter,1250 McKenna Blvd
-89.2794444135924,43.1442858472232,4965,143,Fire Station #11,4011 Morgan Way
-89.3955068234591,43.0377041637116,4966,144,Madison College - Goodman South,2429 Perry St
-89.3952493184357,43.0411277393848,4967,145,Village on Park,2300 S Park St
-89.3955068234591,43.0377041637116,4968,146,Madison College - Goodman South,2429 Perry St
-89.4303232466535,43.0412851847519,4969,147,UW Arboretum Visitor Center,2880 Longenecker Dr
-89.4303232466535,43.0412851847519,4970,148,UW Arboretum Visitor Center,2880 Longenecker Dr
-89.4303232466535,43.0412851847519,4971,149,UW Arboretum Visitor Center,2880 Longenecker Dr
-89.4303232466535,43.0412851847519,4972,150,UW Arboretum Visitor Center,2880 Longenecker Dr
-89.4901421710202,43.0403871456508,4973,151,Anana Elementary School,6323 Woodington Way
-89.4901421710202,43.0403871456508,4974,152,Anana Elementary School,6323 Woodington Way
-89.3955068234591,43.0377041637116,4975,153,Madison College - Goodman South,2429 Perry St
-89.3464665418125,43.1016422551209,4976,154,Hawthorne Library,2707 E Washington Ave
-89.2729408356437,43.0766838668528,4977,155,Westminster Senior Apartments,6160 Dell Dr
